id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
RASSF8,4,0.34593,0.55719,1.0,10552,1,0.19392,0.20696,0.985705,4174,1
ZNF728,4,0.34593,0.55719,1.0,10553,2,0.84632,0.84667,0.996566,17086,0
JPH3,4,0.34593,0.55719,1.0,10554,1,0.13498,0.15882,0.985705,3176,1
C11orf49,4,0.34593,0.55719,1.0,10555,1,0.27297,0.27624,0.985705,5589,1
C14orf93,4,0.34607,0.55729,1.0,10556,2,0.17067,0.18764,0.985705,3771,1
ZNF326,4,0.34634,0.55749,1.0,10557,2,0.48508,0.48501,0.985705,9840,0
DPPA3,4,0.34644,0.55756,1.0,10558,2,0.35473,0.35426,0.985705,7164,1
NGLY1,4,0.34644,0.55756,1.0,10559,2,0.70656,0.70656,0.986998,14389,0
CDK11B,4,0.34669,0.55773,1.0,10560,2,0.70902,0.70903,0.986998,14440,0
controlguide722,1,0.34725,0.3475,1.0,10561,1,0.65275,0.65284,0.985939,13293,0
FCRL6,4,0.3473,0.55819,1.0,10562,2,0.78431,0.78456,0.990831,15922,0
GRIA4,4,0.34746,0.5583,1.0,10563,2,0.56729,0.56702,0.985705,11542,0
USP33,4,0.34775,0.5585,1.0,10564,2,0.1262,0.15174,0.985705,3022,1
CASP14,4,0.34775,0.5585,1.0,10565,2,0.8451,0.84542,0.996337,17065,0
MAPK3,4,0.34806,0.55874,1.0,10566,2,0.52574,0.52562,0.985705,10696,0
LCN15,4,0.34811,0.55877,1.0,10567,2,0.5675,0.56723,0.985705,11546,0
URB1,4,0.34819,0.55882,1.0,10568,2,0.88516,0.88541,0.999069,17818,0
C22orf29,4,0.34819,0.55882,1.0,10569,2,0.54962,0.54934,0.985705,11194,0
CCDC69,4,0.34833,0.55891,1.0,10570,2,0.27709,0.27997,0.985705,5678,1
TNFRSF14,4,0.34833,0.55891,1.0,10571,2,0.34187,0.34144,0.985705,6902,1
controlguide600,1,0.3484,0.34866,1.0,10572,1,0.6516,0.65168,0.985939,13267,0
PMM1,4,0.34849,0.55902,1.0,10573,2,0.6959,0.69592,0.986998,14171,0
LSP1,4,0.3486,0.55909,1.0,10574,2,0.19891,0.21117,0.985705,4259,1
ATOH8,4,0.3486,0.55909,1.0,10575,2,0.19404,0.20706,0.985705,4176,1
